district,channel_name,channel_id
Gopalganj,326,Gopalganj
Gorakhpur,327,Gorakhpur
Gumla,328,Gumla
Guna,329,Guna
Guntur,330,Guntur
Gurdaspur,331,Gurdaspur
Gurugram,332,Gurugram
Gwalior,333,Gwalior
Indore,335,Indore
Jabalpur,336,Jabalpur
Jagatsinghapur,337,Jagatsinghapur
Jagitial,338,Jagitial
Ajmer,339,Ajmer
Jaisalmer,340,Jaisalmer
Jajpur,341,Jajpur
Jalandhar,342,Jalandhar
Jalaun,343,Jalaun
Jalgaon,344,Jalgaon
Jalna,345,Jalna
Jalore,346,Jalore
Jalpaiguri,347,Jalpaiguri
Jammu,348,Jammu
Jamnagar,349,Jamnagar
Jamtara,350,Jamtara
Jamui,351,Jamui
Jangoan,352,Jangoan
Janjgir-Champa,353,JanjgirChampa
Jashpur,354,Jashpur
Jaunpur,355,Jaunpur
Jehanabad,357,Jehanabad
Gyalshing,358,Gyalshing
Hailakandi,359,Hailakandi
Hamirpur,360,Hamirpur
Hamirpur,360,Hamirpur
Hanumakonda,361,Hanumakonda
Hanumangarh,362,Hanumangarh
Hapur,363,Hapur
Harda,364,Harda
Hardoi,365,Hardoi
Haridwar,366,Haridwar
Hassan,367,Hassan
Hathras,368,Hathras
Haveri,369,Haveri
Hazaribagh,370,Hazaribagh
Hingoli,371,Hingoli
Hisar,372,Hisar
Hnahthial,373,Hnahthial
Hojai,374,Hojai
Hooghly,375,Hooghly
Hoshiarpur,376,Hoshiarpur
Howrah,377,Howrah
Hyderabad,378,Hyderabad
Idukki,379,Idukki
Jhabua,381,Jhabua
Jhajjar,382,Jhajjar
Jhalawar,383,Jhalawar
Jhansi,384,Jhansi
Jhargram,385,Jhargram
Jharsuguda,386,Jharsuguda
Jhunjhunu,387,Jhunjhunu
Jind,388,Jind
Jiribam,389,Jiribam
Jodhpur,390,Jodhpur
Jorhat,392,Jorhat
Junagadh,393,Junagadh
Kabeerdham,394,Kabeerdham
Kachchh,395,Kachchh
Kaimur,396,Kaimur
Kaithal,397,Kaithal
Kakching,398,Kakching
Kakinada,399,Kakinada
Kalaburagi,400,Kalaburagi
Kalahandi,401,Kalahandi
Kalimpong,402,Kalimpong
Kallakurichi,403,Kallakurichi
Kamareddy,404,Kamareddy
Kamjong,405,Kamjong
Kamle,406,Kamle
Kamrup,407,Kamrup
Kancheepuram,409,Kancheepuram
Kandhamal,410,Kandhamal
Kangpokpi,411,Kangpokpi
Kangra,412,Kangra
Kannauj,413,Kannauj
Kanniyakumari,414,Kanniyakumari
Kannur,415,Kannur
Kapurthala,418,Kapurthala
Karaikal,419,Karaikal
Karauli,420,Karauli
Kargil,422,Kargil
Karimnagar,423,Karimnagar
Karnal,424,Karnal
Karur,425,Karur
Kasaragod,426,Kasaragod
Kasganj,427,Kasganj
Kathua,428,Kathua
Kohima,429,Kohima
Kokrajhar,430,Kokrajhar
Kolar,431,Kolar
Kolasib,432,Kolasib
Kolhapur,433,Kolhapur
Kolkata,434,Kolkata
Kollam,435,Kollam
Kondagaon,436,Kondagaon
Koppal,437,Koppal
Koraput,438,Koraput
Korba,439,Korba
Korea,440,Korea
Kota,441,Kota
Kotputli-Behror,442,KotputliBehror
Kottayam,443,Kottayam
Kozhikode,444,Kozhikode
Krishna,446,Krishna
Krishnagiri,447,Krishnagiri
Kulgam,448,Kulgam
Kullu,449,Kullu
Kupwara,451,Kupwara
Kurnool,452,Kurnool
Katihar,453,Katihar
Katni,454,Katni
Kaushambi,455,Kaushambi
Kendrapara,456,Kendrapara
Kendujhar,457,Kendujhar
Khagaria,459,Khagaria
Khairagarh-Chhuikhadan-Gandai,460,KhairagarhChhuikhadanGandai
Khairthal-Tijara,461,KhairthalTijara
Khammam,462,Khammam
Khandwa,463,Khandwa
Khargone,464,Khargone
Khawzawl,465,Khawzawl
Kheda,466,Kheda
Kheri,467,Kheri
Khordha,468,Khordha
Khowai,469,Khowai
Khunti,470,Khunti
Kinnaur,471,Kinnaur
Kiphire,472,Kiphire
Kishanganj,473,Kishanganj
Kishtwar,474,Kishtwar
Kodagu,475,Kodagu
Koderma,476,Koderma
Madhepura,477,Madhepura
Madhubani,478,Madhubani
Madurai,479,Madurai
Mahabubabad,480,Mahabubabad
Mahabubnagar,481,Mahabubnagar
Mahasamund,482,Mahasamund
Mahendragarh,483,Mahendragarh
